Date,stock_price
5/23/2024,129.410004
5/22/2024,132.690002
5/21/2024,133.720001
5/20/2024,134.869995
5/17/2024,136.690002
5/16/2024,131.970001
5/15/2024,130.960007
5/14/2024,131.880005
5/13/2024,128.229996
5/10/2024,126.660004
5/9/2024,128.699997
5/8/2024,127.809998
5/7/2024,127.879997
5/6/2024,121.779999
5/3/2024,122.410004
5/2/2024,123.239998
5/1/2024,121.779999
4/30/2024,124.379997
4/29/2024,123.750000
4/26/2024,122.250000
4/25/2024,122.940002
4/24/2024,123.080002
4/23/2024,122.720001
4/22/2024,119.050003
4/19/2024,116.589996
4/18/2024,116.029999
4/17/2024,115.169998
4/16/2024,113.849998
4/15/2024,117.339996
4/12/2024,118.639999
4/11/2024,118.029999
4/10/2024,119.389999
4/9/2024,120.300003
4/8/2024,119.260002
4/5/2024,119.209999
4/4/2024,119.489998
4/3/2024,115.970001
4/2/2024,116.320000
4/1/2024,118.690002
3/28/2024,119.029999
3/27/2024,114.949997
3/26/2024,110.440002
3/25/2024,108.769997
3/22/2024,108.860001
3/21/2024,115.320000
3/20/2024,111.199997
3/19/2024,116.599998
3/18/2024,115.050003
3/15/2024,115.040001
3/14/2024,115.750000
3/13/2024,116.870003
3/12/2024,117.510002
3/11/2024,115.980003
3/8/2024,119.019997
3/7/2024,120.709999
3/6/2024,121.190002
3/5/2024,121.099998
3/4/2024,124.400002
3/1/2024,116.970001
2/29/2024,114.970001
2/28/2024,115.080002
2/27/2024,113.160004
2/26/2024,116.500000
2/23/2024,113.019997
2/22/2024,116.790001
2/21/2024,115.809998
2/20/2024,114.089996
2/16/2024,114.959999
2/15/2024,112.279999
2/14/2024,108.220001
2/13/2024,107.120003
2/12/2024,111.809998
2/9/2024,110.080002
2/8/2024,106.839996
2/7/2024,110.339996
2/6/2024,112.129997
2/5/2024,115.540001
2/2/2024,115.360001
2/1/2024,112.000000
1/31/2024,113.489998
1/30/2024,117.320000
1/29/2024,112.820000
1/26/2024,120.959999
1/25/2024,120.879997
1/24/2024,131.399994
1/23/2024,134.179993
1/22/2024,129.039993
1/19/2024,124.807503
1/18/2024,125.010002
1/17/2024,126.522499
1/16/2024,124.824997
1/12/2024,125.857498
1/11/2024,124.370003
1/10/2024,118.275002
1/9/2024,115.707497
1/8/2024,115.562500
1/5/2024,114.607498
1/4/2024,114.907501
1/3/2024,115.010002
1/2/2024,113.010002
12/29/2023,109.375000
12/28/2023,112.727501
12/27/2023,111.112503
12/26/2023,113.902496
12/22/2023,110.062500
12/21/2023,109.665001
12/20/2023,108.937500
12/19/2023,106.260002
12/18/2023,96.190002
12/15/2023,95.040001
12/14/2023,93.252502
12/13/2023,94.809998
12/12/2023,92.614998
12/11/2023,92.845001
12/8/2023,97.272499
12/7/2023,97.000000
12/6/2023,98.357498
12/5/2023,96.327499
12/4/2023,96.522499
12/1/2023,97.724998
11/30/2023,97.057503
11/29/2023,95.477501
11/28/2023,95.919998
11/27/2023,95.752502
11/24/2023,95.342499
11/22/2023,93.172501
11/21/2023,93.462502
11/20/2023,91.027496
11/17/2023,91.027496
11/16/2023,91.199997
11/15/2023,90.445000
11/14/2023,88.407501
11/13/2023,91.209999
11/9/2023,90.014999
11/8/2023,91.632500
11/7/2023,89.717499
11/6/2023,87.430000
11/3/2023,87.932503
11/2/2023,87.897499
11/1/2023,88.019997
10/31/2023,85.747498
10/30/2023,84.699997
10/27/2023,83.974998
10/26/2023,88.209999
10/25/2023,85.997498
10/24/2023,83.364998
10/23/2023,82.875000
10/20/2023,80.580002
10/19/2023,81.279999
10/18/2023,80.834999
10/17/2023,80.462502
10/16/2023,79.485001
10/13/2023,79.562500
10/12/2023,79.527496
10/11/2023,79.182503
10/10/2023,79.722504
10/6/2023,79.212502
10/5/2023,79.807503
10/4/2023,78.285004
10/3/2023,78.739998
10/2/2023,76.927498
9/29/2023,77.385002
9/28/2023,76.912498
9/27/2023,77.852501
9/26/2023,78.752502
9/25/2023,77.532501
9/22/2023,75.934998
9/21/2023,75.157501
9/20/2023,74.389999
9/19/2023,73.290001
9/18/2023,72.267502
9/15/2023,73.449997
9/14/2023,71.932503
9/13/2023,69.644997
9/12/2023,70.792503
9/11/2023,70.742500
9/8/2023,68.757500
9/7/2023,69.025002
9/6/2023,67.092499
9/5/2023,69.232498
9/1/2023,70.699997
8/31/2023,71.672501
8/30/2023,71.107498
8/29/2023,71.762497
8/28/2023,68.312500
8/25/2023,66.997498
8/24/2023,66.517502
8/23/2023,64.857498
8/22/2023,65.617500
8/21/2023,60.352501
8/18/2023,61.232498
8/17/2023,60.227501
8/16/2023,63.572498
8/15/2023,63.702499
8/14/2023,61.935001
8/11/2023,64.610001
8/10/2023,61.380001
8/9/2023,61.720001
8/8/2023,56.092499
8/7/2023,57.310001
8/4/2023,61.195000
8/3/2023,61.667500
8/2/2023,63.215000
8/1/2023,60.552502
7/31/2023,69.492500
7/28/2023,62.057499
7/27/2023,68.857498
7/26/2023,71.334999
7/25/2023,66.542503
7/24/2023,72.257500
7/21/2023,73.230003
7/20/2023,75.684998
7/19/2023,72.330002
7/18/2023,74.702499
7/17/2023,68.339996
7/14/2023,68.379997
7/13/2023,73.162498
7/12/2023,72.019997
7/11/2023,74.544998
7/10/2023,78.262497
7/7/2023,80.074997
7/6/2023,80.904999
7/5/2023,79.750000
7/3/2023,81.237503
6/30/2023,81.217499
6/29/2023,81.800003
6/28/2023,79.902496
6/27/2023,80.387497
6/26/2023,80.007500
6/23/2023,81.302498
6/22/2023,80.362503
6/21/2023,79.712502
6/20/2023,77.165001
6/16/2023,77.377502
6/15/2023,80.967499
6/14/2023,81.084999
6/13/2023,79.422501
6/12/2023,77.237503
6/9/2023,79.577499
6/8/2023,79.807503
6/7/2023,79.425003
6/6/2023,79.142502
6/5/2023,79.682503
6/2/2023,78.809998
6/1/2023,77.834999
5/31/2023,78.169998
5/30/2023,79.239998
5/26/2023,77.582497
5/25/2023,77.407501
5/24/2023,75.797501
5/23/2023,74.597504
5/22/2023,74.949997
5/19/2023,74.357498
5/18/2023,75.087502
5/17/2023,73.412498
5/16/2023,72.879997
5/15/2023,72.449997
5/12/2023,72.477501
5/11/2023,71.067497
5/10/2023,71.000000
5/9/2023,69.860001
5/8/2023,70.004997
5/5/2023,69.934998
5/4/2023,70.102501
5/3/2023,69.964996
5/2/2023,68.787498
5/1/2023,67.864998
4/28/2023,67.692497
4/27/2023,67.120003
4/26/2023,66.730003
4/25/2023,67.677498
4/24/2023,66.394997
4/21/2023,65.434998
4/20/2023,64.862503
4/19/2023,66.040001
4/18/2023,66.812500
4/17/2023,66.959999
4/14/2023,66.072502
4/13/2023,66.592499
4/12/2023,65.445000
4/11/2023,65.502502
4/10/2023,65.797501
4/6/2023,66.572502
4/5/2023,66.775002
4/4/2023,66.440002
4/3/2023,65.660004
3/31/2023,66.117500
3/30/2023,65.489998
3/29/2023,65.550003
3/28/2023,65.035004
3/27/2023,64.857498
3/24/2023,64.309998
3/23/2023,64.282501
3/22/2023,64.375000
3/21/2023,63.955002
3/20/2023,62.189999
3/17/2023,60.814999
3/16/2023,60.822498
